CustomerID,Recency,Frequency,Monetary
14646,-0.39357429718875503,18.0,206.47442128432778
18102,-0.40160642570281124,14.5,191.29654469442923
17450,-0.3373493975903614,11.0,143.08882011433974
16446,-0.40160642570281124,0.0,123.94482442793198
14911,-0.39357429718875503,49.75,105.655392728938
12415,-0.20883534136546184,4.75,91.77165290354984
14156,-0.3293172690763052,13.25,86.08092417236641
17511,-0.3855421686746988,7.25,66.7674796507763
16029,-0.0963855421686747,15.25,59.22494201763845
12346,2.208835341365462,-0.25,56.516212902368046
16684,-0.36947791164658633,6.5,48.73842199341143
14096,-0.36947791164658633,3.75,47.63877358072474
13694,-0.37751004016064255,12.0,47.54631941264237
15311,-0.40160642570281124,22.25,44.29127827101768
13089,-0.3855421686746988,23.75,42.909547515991314
17949,-0.39357429718875503,10.75,42.72370850752663
15769,-0.3453815261044177,6.0,41.05606192663939
15061,-0.37751004016064255,11.5,39.786669227246534
14298,-0.3373493975903614,10.5,37.56573057775545
14088,-0.321285140562249,2.75,36.80088783182899
15749,1.4859437751004017,0.25,32.40049931307521
12931,-0.23293172690763053,3.25,30.569925989393287
17841,-0.39357429718875503,30.5,29.43530350257781
15098,1.0602409638554218,0.25,28.989659196667304
13798,-0.39357429718875503,13.75,26.949086316162674
16013,-0.37751004016064255,11.25,26.931913196342308
16422,-0.26506024096385544,12.25,25.12507940259702
15838,-0.3132530120481928,4.25,24.355930450711302
12748,-0.40160642570281124,52.0,23.92022070228827
17404,-0.36947791164658633,3.25,23.073478793966878
17389,-0.40160642570281124,8.0,23.01945548284165
13098,-0.39357429718875503,6.5,20.839584595157547
14680,-0.20080321285140562,3.5,20.744796360037224
13081,-0.3132530120481928,2.25,20.436987576263423
13408,-0.39357429718875503,15.0,20.27423810438302
17857,-0.36947791164658633,5.25,19.359815638249152
16333,-0.3453815261044177,5.0,19.173503907346397
13777,-0.40160642570281124,7.75,18.693661087557057
12753,-0.2248995983935743,1.0,15.334547146676906
12744,0.008032128514056224,1.25,15.223678962374247
16210,-0.39357429718875503,4.0,15.08113098843307
17675,-0.39357429718875503,7.25,14.555212503508484
17381,-0.3373493975903614,6.75,14.482331998877282
12471,-0.3855421686746988,7.0,14.122649313813834
15039,-0.3293172690763052,11.25,14.106355162276747
12731,-0.21686746987951808,2.5,13.463245830440368
15159,-0.39357429718875503,7.0,13.274969346904403
12901,-0.3373493975903614,6.5,12.546334185218559
12678,-0.0642570281124498,2.5,12.52707074586737
14031,-0.3453815261044177,4.25,12.274755144549657
17428,-0.40160642570281124,6.5,12.252588893977217
13767,-0.3855421686746988,8.75,12.225636328719364
13881,-0.37751004016064255,4.5,12.180698151950716
16839,-0.3373493975903614,8.0,11.763247307697988
12921,-0.3293172690763052,8.75,11.757884862541179
17677,-0.39357429718875503,7.0,11.57935089300223
15189,-0.39357429718875503,9.75,11.490722822152954
14607,-0.28112449799196787,3.0,11.478986010370347
15856,-0.36947791164658633,6.25,11.43033991697812
14051,-0.40160642570281124,5.25,11.036466104323932
15513,-0.13654618473895583,4.25,10.407028791750992
16133,-0.37751004016064255,7.75,10.282067569763491
14866,-0.321285140562249,2.5,10.134977028644025
16705,-0.40160642570281124,4.5,9.872830277872158
12681,-0.2891566265060241,5.0,9.690056578966805
12621,-0.39357429718875503,4.5,9.617766977383186
12540,-0.24899598393574296,3.75,9.403985641055943
12433,-0.40160642570281124,1.25,9.385985256968963
15498,-0.3855421686746988,6.25,9.3420590016693
12477,-0.2248995983935743,1.0,9.27066314094515
17735,-0.3855421686746988,4.25,9.189620787969213
16525,-0.3855421686746988,6.0,9.12863220717061
14258,-0.3293172690763052,1.75,8.864594566646476
13078,-0.37751004016064255,6.0,8.833542611496018
12536,-0.05622489959839357,0.25,8.814257013280546
15640,-0.36947791164658633,3.25,8.677078870784277
16000,-0.3855421686746988,0.25,8.660526199163872
17340,-0.1686746987951807,2.25,8.630678208972864
12682,-0.37751004016064255,7.25,8.576411150340506
13113,-0.40160642570281124,5.5,8.55140117885158
14606,-0.39357429718875503,22.75,8.425974620714106
12557,-0.27309236947791166,0.75,8.363050832434666
12939,0.11244979919678715,1.5,8.060833468748614
15125,-0.20080321285140562,3.25,8.021449780627243
14194,-0.36947791164658633,4.75,7.889264768883045
12971,-0.37751004016064255,21.0,7.771372224602248
14895,-0.3453815261044177,4.5,7.733554429556969
12409,0.2248995983935743,0.25,7.684775382979037
17581,-0.40160642570281124,5.75,7.649742218545492
15482,-0.28112449799196787,2.5,7.54228649934262
13319,-0.3614457831325301,6.0,7.517018007770374
17107,-0.13654618473895583,1.0,7.4815121208987625
13340,-0.040160642570281124,1.25,7.4364557635206
17139,-0.28112449799196787,2.5,7.373147888260234
16779,-0.3855421686746988,5.0,7.344304433250113
17865,-0.1606425702811245,4.5,7.281225532920685
17706,-0.36947791164658633,3.75,7.265101266009779
15251,-0.3293172690763052,2.25,7.250698004224956
14062,-0.3293172690763052,2.5,7.235822020002068
14769,-0.3855421686746988,1.5,7.200463858892352
15615,-0.321285140562249,5.25,7.18772989821695
15502,-0.28112449799196787,2.5,7.176790805548579
16180,0.40160642570281124,1.5,7.08021508870932
16843,-0.0642570281124498,3.5,7.037662682995287
12590,1.2931726907630523,0.0,6.792208943317625
13199,-0.37751004016064255,9.0,6.757389981238829
13001,-0.36947791164658633,2.75,6.734381693823585
15078,-0.3453815261044177,7.5,6.702724063049355
12709,-0.28112449799196787,3.25,6.675697634910552
13458,-0.3453815261044177,3.0,6.63141683778234
14733,-0.27309236947791166,2.5,6.5866116141994
16523,-0.39357429718875503,4.75,6.462935606340389
